Date,Rating,Duration
16-03-25,Goed,-
16-03-28 06:35:14,-,6.25
16-03-29 05:47:27,-,9.42
16-03-30 06:11:04,Gemiddeld,9.85
16-03-31 05:39:29,Goed,4.25
16-03-31 08:58:53,Goed,1.9
16-04-01 18:09:28,-,0.93
16-04-02,Goed,-
16-04-03,Goed,-
16-04-04 05:33:37,-,9.95
16-04-05 05:58:38,Gemiddeld,9.82
16-04-06,Goed,-
16-04-07 06:22:30,-,7.87
16-04-08 05:46:38,Gemiddeld,8.72
16-04-09 05:53:57,-,7.67
16-04-10 20:19:41,-,1.33
16-04-12 21:37:48,-,0.97
16-04-13 05:39:47,Gemiddeld,7.17
16-04-14 00:21:22,-,3.87
16-04-14 06:33:22,-,5.2
16-04-14 19:42:39,-,1.18
16-04-14 22:25:39,-,1.6
16-04-15 05:51:39,Gemiddeld,7.05
16-04-16 00:45:39,-,0.83
16-04-18 06:31:09,-,9.88
16-04-20 06:17:09,-,10.3
16-04-23 06:19:13,Gemiddeld,5.83
16-04-23 10:16:13,Gemiddeld,1.63
16-04-24 06:42:06,Slecht,8.22
16-04-25,Goed,-
16-04-26,Goed,-
16-04-27 06:08:50,-,10.2
16-04-28 06:23:50,-,7.7
16-04-29 12:50:50,-,1.58
16-04-30 00:11:52,-,1.33
16-04-30 05:19:52,-,4.85
16-04-30 23:01:29,-,0.7
16-05-01 06:20:29,-,6.87
16-05-03 05:36:42,-,6.75
16-05-06 00:27:42,Slecht,1.15
16-05-06 08:45:42,Slecht,8.03
16-05-06 10:17:42,Slecht,0.67
16-05-07,Goed,-
16-05-08 06:45:43,Gemiddeld,6.5
16-05-09 06:09:43,Gemiddeld,6.93
16-05-10 06:30:53,-,9.43
16-05-10 09:12:53,-,1.85
16-05-11 06:33:22,-,5.98
16-05-11 14:28:46,-,1.18
16-05-12 08:05:03,-,9.53
16-05-14 06:57:54,-,7.52
16-05-15,Goed,-
16-05-16 10:37:06,-,0.53
