Date,Distance Walked (m),Rating
16-03-25,-,Goed
16-03-26,-,Slecht
16-03-27,-,Gemiddeld
16-03-28,-,Gemiddeld
16-03-29,-,Gemiddeld
16-03-30,174.0,Goed
16-03-31,212.0,Goed
16-04-01,-,Goed
16-04-02,-,Goed
16-04-03,171.0,Goed
16-04-05,-,Goed
16-04-07,-,Goed
16-04-08,-,Gemiddeld
16-04-09,174.0,Gemiddeld
16-04-10,-,Goed
16-04-14,-,Gemiddeld
16-04-15,-,Goed
16-04-18,-,Goed
16-04-20,-,Gemiddeld
16-04-21,-,Gemiddeld
16-04-23,-,Gemiddeld
16-04-24,-,Gemiddeld
16-04-25,-,Goed
16-04-26,-,Goed
16-05-02,-,Gemiddeld
16-05-03,-,Slecht
16-05-04,-,Gemiddeld
16-05-05,-,Gemiddeld
16-05-06,-,Slecht
16-05-07,-,Slecht
16-05-08,-,Gemiddeld
16-05-09,-,Gemiddeld
16-05-10,-,Goed
16-05-11,-,Gemiddeld
16-05-12,140.0,Slecht
16-05-13,-,Gemiddeld
16-05-14,-,Slecht
16-05-15,-,Goed
16-05-16,-,Gemiddeld
